ZONE,Item,Weight,Persona,Severity Level,Category
zone1,being vulnerable in therapy,1,4,L1,Physical and Mental Health
zone1,being with/around friends,1,1,L1,Social Connections
zone1,class,1,2,L1,Academic
zone1,class,1,4,L1,Academic
zone1,finances,2,1,"L1, L2","Future, Career, and Finance"
zone1,finances,1,4,L1,"Future, Career, and Finance"
zone1,future,1,1,L1,"Future, Career, and Finance"
zone1,future,1,4,,"Future, Career, and Finance"
zone1,homework,1,3,L1,Academic
zone1,Internship,1,4,L2,"Future, Career, and Finance"
zone1,lab,1,4,L1,Academic
zone1,physical health,1,1,,Physical and Mental Health
zone1,presentations,1,2,,Academic
zone1,presentations,1,3,,Academic
zone1,presentations,1,4,L1,Academic
zone1,projects,1,2,L1,Academic
zone1,quizzes/exams,1,1,L1,Academic
zone1,work,1,1,L1,"Future, Career, and Finance"
zone 2,family,1,2,L1,Social Connections
zone 2,going to church,1,3,L2,Social Connections
zone 2,health,1,2,L1,Physical and Mental Health
zone 2,homework,1,2,L1,Academic
zone 2,optional programs,1,3,L1,Academic
zone 2,planning,1,1,L1,"Future, Career, and Finance"
zone 2,presentations,1,4,L1,Academic
zone 2,projects,1,1,L2,Academic
zone 2,projects,1,2,L1,Academic
zone 2,projects,1,3,L1,Academic
zone 2,quizzes/exams,2,1,"L1, L2",Academic
zone 2,quizzes/exams,1,4,L1,Academic
zone 2,relationship,2,2,L1,Social Connections
zone 2,work,1,1,L1,"Future, Career, and Finance"
zone 2,work,1,4,L1,"Future, Career, and Finance"
zone 2,workout,1,2,L1,Physical and Mental Health
zone 3,developing accessible hobbies,1,4,L1,Physical and Mental Health
zone 3,group work,1,3,L1,Academic
zone 3,health,3,1,"L1, L2",Physical and Mental Health
zone 3,homework,2,1,"L1, L2",Academic
zone 3,homework,1,2,L1,Academic
zone 3,homework,1,3,L1,Academic
zone 3,homework,4,4,"L1, L2",Academic
zone 3,hygiene,1,2,L1,Physical and Mental Health
zone 3,hygiene,1,4,L2,Physical and Mental Health
zone 3,lectures,2,1,L1,Academic
zone 3,planning,1,1,L1,"Future, Career, and Finance"
zone 3,planning,1,2,L1,"Future, Career, and Finance"
