Type,Strategies,Persona,Weight
Not working,cooking,persona1,0
Not working,crying,persona1,1
Not working,drawing,persona1,2
Not working,drinking alcohol,persona1,4
Not working,eating,persona1,2
Not working,eating junk food,persona1,3
Not working,gardening,persona1,0
Not working,going to the gym,persona1,2
Not working,hanging out with family members ,persona1,1
Not working,hanging out with friends,persona1,0
Not working,journaling,persona1,3
Not working,learning a new skill,persona1,0
Not working,listening to music,persona1,0
Not working,meditation,persona1,2
Not working,outdoor activities,persona1,1
Not working,planning,persona1,0
Not working,planning/going on trips,persona1,0
Not working,playing video games,persona1,2
Not working,reading a self-help book,persona1,1
Not working,reading books,persona1,0
Not working,reading/thinking affirmations,persona1,1
Not working,running,persona1,3
Not working,shopping/window shopping,persona1,2
Not working,sleeping,persona1,1
Not working,spending time on social media,persona1,5
Not working,talking to a professional,persona1,1
Not working,talking to family members,persona1,1
Not working,talking to friends,persona1,0
Not working,using drugs,persona1,1
Not working,volunteering,persona1,1
Not working,watching movies/tv shows,persona1,2
Not working,yoga,persona1,1
Works for me,cooking,persona1,1
Works for me,crying,persona1,4
Works for me,drawing,persona1,1
Works for me,drinking alcohol,persona1,1
Works for me,eating,persona1,1
Works for me,eating junk food,persona1,2
Works for me,gardening,persona1,0
Works for me,going to the gym,persona1,4
Works for me,hanging out with family members ,persona1,3
Works for me,hanging out with friends,persona1,5
Works for me,journaling,persona1,0
Works for me,learning a new skill,persona1,0
Works for me,listening to music,persona1,6
Works for me,meditation,persona1,1
Works for me,outdoor activities,persona1,2
Works for me,planning,persona1,4
Works for me,planning/going on trips,persona1,1
Works for me,playing video games,persona1,0
Works for me,reading a self-help book,persona1,1
Works for me,reading books,persona1,2
Works for me,reading/thinking affirmations,persona1,0
Works for me,running,persona1,1
Works for me,shopping/window shopping,persona1,2
Works for me,sleeping,persona1,5
Works for me,spending time on social media,persona1,1
Works for me,talking to a professional,persona1,2
Works for me,talking to family members,persona1,4
Works for me,talking to friends,persona1,5
Works for me,using drugs,persona1,1
Works for me,volunteering,persona1,1
Works for me,watching movies/tv shows,persona1,3
Works for me,yoga,persona1,3
Willing to try,cooking,persona1,11
Willing to try,crying,persona1,2
Willing to try,drawing,persona1,5
Willing to try,drinking alcohol,persona1,0
Willing to try,eating,persona1,0
Willing to try,eating junk food,persona1,0
Willing to try,gardening,persona1,5
Willing to try,going to the gym,persona1,5
Willing to try,hanging out with family members ,persona1,0
Willing to try,hanging out with friends,persona1,0
Willing to try,journaling,persona1,3
Willing to try,learning a new skill,persona1,8
Willing to try,listening to music,persona1,0
Willing to try,meditation,persona1,12
Willing to try,outdoor activities,persona1,6
Willing to try,planning,persona1,4
Willing to try,planning/going on trips,persona1,6
Willing to try,playing video games,persona1,2
Willing to try,reading a self-help book,persona1,6
Willing to try,reading books,persona1,6
Willing to try,reading/thinking affirmations,persona1,5
Willing to try,running,persona1,2
Willing to try,shopping/window shopping,persona1,0
Willing to try,sleeping,persona1,0
Willing to try,spending time on social media,persona1,0
Willing to try,talking to a professional,persona1,9
Willing to try,talking to family members,persona1,1
Willing to try,talking to friends,persona1,0
Willing to try,using drugs,persona1,3
Willing to try,volunteering,persona1,6
Willing to try,watching movies/tv shows,persona1,0
Willing to try,yoga,persona1,7
Not working,cooking,persona2,1
Not working,crying,persona2,1
Not working,drawing,persona2,0
Not working,drinking alcohol,persona2,2
Not working,eating,persona2,1
Not working,eating junk food,persona2,1
Not working,gardening,persona2,1
Not working,going to the gym,persona2,0
Not working,hanging out with family members ,persona2,1
Not working,hanging out with friends,persona2,2
Not working,journaling,persona2,2
Not working,learning a new skill,persona2,0
